Country_Region,Total_Cases
US,1808968058.9680588
US,1720913175.025213
US,1704100854.948558
US,1701175153.8891997
US,1626196384.2609005
US,1580020387.359837
US,1528140584.1842792
US,1503705815.2793615
US,1370218715.6696296
US,1306829765.5453618
